,trial_type,accuracy,rt,stop_delay,stop_delay_acc
0,Stop,0.733333333,0.4327625,Short,0.666666667
1,Go,1,0.477198319,Medium,0.75
0,Stop,0.633333333,0.493618182,Long,0.777777778
1,Go,1,0.441196639,Short,0.666666667
0,Stop,0.7,0.336833333,Medium,0.75
1,Go,0.991596639,0.40224661,Long,0.777777778
0,Stop,0.533333333,0.315578571,Short,0.666666667
1,Go,0.991596639,0.371111017,Medium,0.75
0,Stop,0.733333333,0.447375,Long,0.777777778
1,Go,0.983193277,0.415687179,Short,0.666666667
,,,,Medium,0.75
,,,,Long,0.777777778
,,,,Short,0.666666667
,,,,Medium,0.75
,,,,Long,0.777777778
